schemaVersion,recordType,source.name,job_url,title,content.company,content.date,content.is_remote,content.role_family,location,collectedAt
1.0,JOB,Jobicy,https://jobicy.com/jobs/152901-senior-devops-engineer-7,Senior DevOps Engineer,Tech,2026-09-09T16:27:57+00:00,True,Engineering,,2026-09-10T15:31:42.592509+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152900-operations-risk-analyst,Operations Risk Analyst,Tech,2026-09-09T16:27:34+00:00,True,Engineering,,2026-09-10T15:31:42.592578+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152897-business-development-representative-dach-f-m-d-2,Business Development Representative – DACH (f/m/d),Tech,2026-09-09T16:26:32+00:00,True,Product Management,,2026-09-10T15:31:42.592651+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152896-freelance-product-and-brand-designers-join-our-network,Freelance Product and Brand Designers – Join Our Network,Tech,2026-09-09T16:26:10+00:00,True,Product Management,,2026-09-10T15:31:42.592724+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152894-fractional-revops-gtm-engineer-part-time-contract,"Fractional RevOps / GTM Engineer (Part-Time, Contract)",Tech,2026-09-09T16:25:30+00:00,True,Engineering,,2026-09-10T15:31:42.592796+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152893-payroll-manager,Payroll Manager,Tech,2026-09-09T16:25:07+00:00,True,Engineering,,2026-09-10T15:31:42.592861+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152892-mid-market-sales-account-executive,Mid-Market Sales Account Executive,Tech,2026-09-09T16:24:42+00:00,True,Engineering,,2026-09-10T15:31:42.592928+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152891-legal-market-contracts,Legal (Market Contracts),Tech,2026-09-09T16:24:19+00:00,True,Engineering,,2026-09-10T15:31:42.592993+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152890-trade-compliance-analyst,Trade Compliance Analyst,Tech,2026-09-09T16:23:58+00:00,True,Engineering,,2026-09-10T15:31:42.593063+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152887-backend-engineer-net-f-m-d,Backend Engineer (.NET) (f/m/d),Tech,2026-09-09T16:22:51+00:00,True,Engineering,,2026-09-10T15:31:42.593128+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152886-creative-technologist-contract,Creative Technologist (contract),Tech,2026-09-09T16:22:27+00:00,True,Engineering,,2026-09-10T15:31:42.593194+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152885-oracle-erp-fusion-functional-analyst,Oracle ERP Fusion Functional Analyst,Tech,2026-09-09T16:22:06+00:00,True,Engineering,,2026-09-10T15:31:42.593264+00:00
